,review,processed_text
0,Pattaya for eat,[]
1,ที่นี่ติดชายหาดเลย มีบาร์ให้นั่งกินอาหารมองเห็น วิวทะเลยามเย็น ที่นี่ขายของราคาถูกมาก อาหารน่ากินทุกอย่างเลย จากที่พักของเราเดินไป50เมตร,"['ติด', 'ชาย', 'หาด', 'บาร์', 'นั่ง', 'กิน', 'อาหาร', 'วิวทะเล', 'ยามเย็น', 'ขาย', 'ราคา', 'อาหาร', 'กิน', 'พัก', 'เดิน', 'เมตร']"
2,E,[]
3,"ที่นี่ถ้า5ทุ่มเป๊ะปิดเลย แถมยามยังมาไล่แบบกินเร็วๆ ปิดแล้ว
คือเรามานั่งกินใกล้จะหมดละหล่ะ แต่แบบมาสองรอบแบบแค่เวลาเดินไปยังไม่ถึง1นาทีเดินกลับมาไล่อีกรอบ
ห่วยมาก","['ทุ่มเป๊ะ', 'แถม', 'ยาม', 'ไล่', 'กิน', 'นั่ง', 'กิน', 'หล่ะ', 'สอง', 'รอบ', 'เวลา', 'เดิน', 'นาที', 'เดิน', 'ไล่', 'ห่วย']"
4,ตลาดกลางคืน ริมชายหาด สินค้าหลากหลาย,"['ตลาด', 'กลาง', 'คืน', 'ริม', 'ชายหาด', 'สินค้า', 'หลากหลาย']"
5,ตลาดกลางคืนริมถนนเลียบชายหาดจอมเทียน มีของกินของใช้ เสื้อผ้า ให้เลือกซื้อมากมาย อาหารทะเลสด อร่อย ราคาถูก มีบาร์บริการเครื่องดื่ม ช่วงเย็นถึงค่ำนักท่องเที่ยวเยอะ มีที่จอดรถด้านหลังตลาด,"['ตลาด', 'กลาง', 'คืน', 'ริม', 'ถนน', 'เลียบ', 'ชาย', 'หาดจอมเทียน', 'กิน', 'เสื้อผ้า', 'เลือก', 'ซื้อ', 'อาหาร', 'ทะเลสด', 'อร่อย', 'ราคา', 'บาร์', 'บริการ', 'เครื่อง', 'ดื่ม', 'เย็น', 'ค่ำ', 'ท่องเที่ยว', 'จอด', 'รถ', 'ตลาด']"
6,ถนนอาหารหลากหลาย ราคาไม่แพง เป็นถนนสำหรับเดินกลางคืนที่น่าสนใจ,"['ถนนอาหาร', 'หลากหลาย', 'ราคา', 'แพง', 'ถนน', 'สำหรับ', 'เดิน', 'กลาง', 'คืน', 'สนใจ']"
7,Street Food Jomtien beach แหล่งรวมอาหารที่หลากหลาย ราคาไม่แพง มีที่นั่งกินอาหารอยู่ด้านหน้าตลาด และมีดนตรีให้ฟัง ถ้าไม่เข้าไปเที่ยวกลางคืนที่พัทยา ที่นี่ก็น่าสนใจเหมาะสำหรับคนชอบกิน มีทั้งแบบใส่กล่องกลับไปกินที่ห้อง และใส่จานนั่งกินที่ตลาด แม่ค้าพ่อค้าเป็นกันเองมากกกก ตลาดอยู่หน้าหาดจอมเทียน เดินไปชายหาดได้แค่ถนนกั้น,"['แหล่ง', 'อาหาร', 'หลากหลาย', 'ราคา', 'แพง', 'นั่ง', 'กิน', 'อาหาร', 'หน้าตลาด', 'ดนตรี', 'ฟัง', 'เที่ยว', 'กลาง', 'คืน', 'พัทยา', 'สนใจ', 'เหมาะ', 'สำหรับ', 'คน', 'ชอบ', 'กิน', 'ใส่', 'กล่อง', 'กิน', 'ห้อง', 'ใส่', 'จาน', 'นั่ง', 'กิน', 'ตลาด', 'แม่ค้า', 'พ่อค้า', 'กกก', 'ตลาด', 'หน้า', 'หาดจอมเทียน', 'เดิน', 'ชาย', 'หาด', 'ถนน', 'กั้น']"
8,แหล่งท่องเที่ยวย่ามค่ำคืน,"['แหล่ง', 'ท่องเที่ยว', 'ย่าม', 'ค่ำคืน']"
9,เป็นแห่งช้อปปิ้งพื้นเมือง ที่มีของไทยให้เลือกหลายอย่าง สถานที่เดินง่าย กว้างขวาง ตั้งอยู่ใกล้ๆ กับห้างเซ็ลทรัล,"['ช้อปปิ้ง', 'พื้นเมือง', 'ไทย', 'เลือก', 'สถานที่', 'เดิน', 'ห้างเซ็ลทรัล']"
10,ดีใจที่ได้เห็นและเดินผ่าน,"['ดีใจ', 'เดิน']"
11,มีอาหารที่แตกต่างกันมากมายให้เลือกมากกว่าในร้านอาหาร อาหารที่ดีที่สุดไม่มีอะไรพิเศษในตลาดอื่น ๆ ผู้คนมากมาย,"['อาหาร', 'แตกต่าง', 'เลือก', 'ร้าน', 'อาหาร', 'อาหาร', 'ดี', 'พิเศษ', 'ตลาด', 'ผู้คน']"
12,ทัศนคติของการจัดการตลาดกลางคืน,"['ทัศนคติ', 'ตลาด', 'กลาง', 'คืน']"
13,ตลาดกลางคืนดีมากสำหรับอาหารและแหล่งช้อปปิ้งมีบล็อกห้องน้ำใหม่ซึ่งดีมากปัญหาเดียวคือมันปิดหนึ่งชั่วโมงก่อนที่ตลาดบังคับให้คุณใช้บล็อกเก่าพระเจ้าซึ่งน่ารังเกียจและควรดึงลง เจ้าหน้าที่รักษาความปลอดภัยปิดไฟที่ฉันอยู่ในตลาดที่ 2230 และบอกคุณว่าตลาดหยาบคายมากไปปิดตลาดโฆษณาเวลาเปิดจนถึง 2300 เมื่อเราพูดกับผู้บริหารเกี่ยวกับห้องน้ำและความปลอดภัยที่พวกเขาไม่สนใจ,"['ตลาด', 'กลาง', 'คืน', 'ดี', 'สำหรับ', 'อาหาร', 'แหล่ง', 'ช้อปปิ้ง', 'บล็อก', 'ห้อง', 'น้ำ', 'ดี', 'ปัญหา', 'ชั่วโมง', 'ตลาด', 'บังคับ', 'บล็อก', 'เก่า', 'พระเจ้า', 'รังเกียจ', 'ดึง', 'เจ้าหน้าที่', 'รักษา', 'ปลอด', 'ภัย', 'ไฟ', 'ตลาด', 'ตลาด', 'หยาบคาย', 'ตลาด', 'โฆษณา', 'เวลา', 'บริหาร', 'เกี่ยว', 'ห้อง', 'น้ำ', 'ปลอด', 'ภัย', 'สนใจ']"
14,ครอบครัวเยี่ยมมกราคม 2563,"['ครอบครัว', 'เยี่ยม', 'มกราคม']"
15,เปิดเมื่อพระอาทิตย์ตกดินในตอนเย็นอาหารสามารถซื้อได้ในราคาที่ต่ำกว่าร้านค้าริมชายหาด ไม่อย่างนั้นก็แค่ตลาดของคนไทยทั่วไปที่พบได้ทั่วไปในประเทศไทย,"['พระอาทิตย์', 'ตก', 'ดิน', 'ตอน', 'เย็น', 'อาหาร', 'ซื้อ', 'ราคา', 'ต่ำ', 'ร้าน', 'ค้า', 'ริม', 'ชายหาด', 'ตลาด', 'คน', 'ไทย', 'ทั่วไป', 'ทั่วไป', 'ประเทศไทย']"
16,อาหารดีและราคาไม่แพง,"['อาหาร', 'ดี', 'ราคา', 'แพง']"
17,อาหารผู้คนและการสูบเพลง สถานที่แห่งนี้ปลอดภัยและมีอาหารให้เลือกมากมาย ทุกประเภทดังนั้นแม้แต่วีแก้นก็สามารถเพลิดเพลินได้ ผลไม้ปั่นและของหวานก็ทำสดใหม่เช่นกัน คุณสามารถขึ้นรถบัส 10 บาทหน้าและไปทั่วจอมเทียนและพัทยา คนส่วนใหญ่เข้าใจภาษาอังกฤษที่แตกสลายดังนั้นคุณจะสื่อสารได้ดี,"['อาหาร', 'ผู้คน', 'สูบ', 'เพลง', 'สถานที่', 'ปลอด', 'ภัย', 'อาหาร', 'เลือก', 'ประเภท', 'วีแก้น', 'เพลิดเพลิน', 'ผลไม้', 'ปั่น', 'หวาน', 'ทำ', 'สด', 'รถ', 'บัส', 'บาท', 'หน้า', 'จอมเทียน', 'พัทยา', 'คน', 'ภาษา', 'อังกฤษ', 'แตก', 'สลาย', 'สื่อสาร', 'ดี']"
18,เพลงที่ยอดเยี่ยมอาหารสนุก,"['เพลง', 'ยอดเยี่ยม', 'อาหาร', 'สนุก']"
19,นี่เป็นตลาดที่กำลังเกิดขึ้น เปิดเวลา 5 โมงเย็นและปิดเวลา 23.00 น. มีอาหารให้เลือกมากมายและของที่ระลึกมากมายให้เลือกซื้อ นอกจากนี้ยังมีเพลงเต้นรำให้ มันอยู่ติดกับชายหาดพร้อมวิวทิวทัศน์ที่งดงาม ฝูงชนมีความเป็นมิตร จะกลับไปซ้ำแล้วซ้ำอีก,"['ตลาด', 'เวลา', 'โมง', 'เย็น', 'เวลา', 'อาหาร', 'เลือก', 'ระลึก', 'เลือก', 'ซื้อ', 'เพลง', 'เต้นรำ', 'ติด', 'ชาย', 'หาด', 'วิว', 'ทิวทัศน์', 'งดงาม', 'ฝูง', 'ชน', 'มิตร', 'ซ้ำแล้วซ้ำอีก']"
20,ต้องดู .. ดังนั้น,['ดู']
21,เป็นคนดีมากหลากหลายเชื้อชาติ . อาหารสุดยอดความบันเทิงและร้านค้าเล็ก ๆ พร้อมเสื้อผ้าและเกมสำหรับเด็กมากมาย . อากาศอบอุ่นบรรยากาศดี . ทำเลที่ตั้งสมบูรณ์แบบสามารถเข้าถึงได้ง่ายโดยการเดินหรือรถบัสค้างคาว,"['คน', 'ดี', 'หลากหลาย', 'เชื้อชาติ', 'อาหาร', 'ยอด', 'บันเทิง', 'ร้าน', 'ค้า', 'เสื้อผ้า', 'เกม', 'สำหรับ', 'เด็ก', 'อากาศ', 'อบอุ่น', 'บรรยากาศ', 'ดี', 'ทำเล', 'สมบูรณ์แบบ', 'เดิน', 'รถ', 'บัส', 'ค้าง', 'คาว']"
22,ตลาดกลางคืนโดยทั่วไป,"['ตลาด', 'กลาง', 'คืน', 'ทั่วไป']"
23,ตลาดกลางคืนที่เรียบง่าย มีตลาดกลางคืนหลายแห่งในพัทยาและที่นี่ไม่มีอะไรพิเศษ คุณจะพบสิ่งเดียวกันที่นี่เหมือนกับที่อื่น ๆ ดังนั้นหากคุณอยู่ใกล้ ๆ ดู แต่ไม่จำเป็นต้องเดินทางไกลเพื่อเยี่ยมชมเพราะมีตลาดอื่น ๆ ที่ดีกว่าตลาดกลางคืนรอบ ๆ,"['ตลาด', 'กลาง', 'คืน', 'เรียบง่าย', 'ตลาด', 'กลาง', 'คืน', 'พัทยา', 'พิเศษ', 'เหมือน', 'ดู', 'เดินทาง', 'เยี่ยมชม', 'ตลาด', 'ดี', 'ตลาด', 'กลาง', 'คืน', 'รอบ']"
24,เหมาะสำหรับการหยุดพักระยะสั้น,"['เหมาะ', 'สำหรับ', 'หยุด', 'พัก']"
25,"เราพักที่จอมเทียน 2 คืนเท่านั้นดังนั้นที่นี่จึงเป็นสถานที่ที่น่าไปเดินเล่นและหาอะไรทาน ให้บริการอาหารเอเชียและตะวันตกที่คัดสรรมาเป็นอย่างดี มีพื้นที่นั่งเล่นแยกต่างหากสำหรับรับประทานอาหาร ถังขยะตั้งอยู่ใกล้กับพื้นที่ล้างมือ
 มีการเดินเล่นรอบ ๆ แผงลอยอย่างรวดเร็วก่อนที่จะถึงมือไม่มีอะไรอื่นนอกจากโน้ตเด็กที่สามารถเต้นที่ดิสโก้ขนาดเล็ก
 ไม่คุ้มค่าที่จะเดินทางออกจากพัทยาเว้นแต่คุณจะมีลูกเล็ก ๆ มีศักยภาพที่จะดีขึ้นและปรับปรุง แต่ไม่ต้องสงสัยเลยว่ามันจะเคย","['พัก', 'จอมเทียน', 'คืน', 'สถานที่', 'เดิน', 'เล่น', 'หา', 'ทาน', 'บริการ', 'อาหาร', 'เอเชีย', 'ตะวัน', 'ตก', 'คัดสรร', 'ดี', 'พื้นที่', 'นั่ง', 'เล่น', 'แยก', 'สำหรับ', 'รับประทาน', 'อาหาร', 'ถัง', 'ขยะ', 'พื้นที่', 'ล้าง', 'เดิน', 'เล่น', 'รอบ', 'แผง', 'ลอย', 'มือ', 'โน้ต', 'เด็ก', 'เต้น', 'ดิสโก้', 'ขนาด', 'คุ้ม', 'ค่า', 'เดินทาง', 'พัทยาเว้น', 'ลูก', 'ศักยภาพ', 'ดี', 'ปรับปรุง', 'สงสัย']"
26,ไม่เลววิวสวยมาก,"['เลว', 'วิว', 'สวย']"
27,ประมาณสองเกาะของแผงขายอาหารและของที่ระลึกและเสื้อผ้า 3 แห่ง ฯลฯ พวกเขามักจะเล่นดนตรีและมีที่จอดรถสำหรับมอเตอร์ไซค์มากมาย ที่ดีที่สุดคือมุมมองที่คุณสามารถนั่งและชมพระอาทิตย์ตกที่ม้านั่ง,"['สอง', 'เกาะ', 'แผง', 'ขาย', 'อาหาร', 'ระลึก', 'เสื้อผ้า', 'เล่น', 'ดนตรี', 'จอด', 'รถ', 'สำหรับ', 'มอเตอร์ไซค์', 'ดี', 'มุมมอง', 'นั่ง', 'ชม', 'พระอาทิตย์', 'ตก', 'ม้า', 'นั่ง']"
28,อาหารเลิศรส,['อาหารเลิศรส']
29,อาหารที่นี่ดีจริงๆสถานที่ที่ดีที่สุดสำหรับนำออกไปบ้านเช่า ราคาถูกมาก ๆ นอกจากนี้ยังมีเสื้อผ้าของที่ระลึกและชุดชายหาดสำหรับขาย,"['อาหาร', 'ดี', 'สถานที่', 'ดี', 'สำหรับ', 'บ้าน', 'เช่า', 'ราคา', 'เสื้อผ้า', 'ระลึก', 'ชุด', 'ชาย', 'หาด', 'สำหรับ', 'ขาย']"
30,ร้านอาหารดีและตลาดริมถนน,"['ร้าน', 'อาหาร', 'ดี', 'ตลาด', 'ริม', 'ถนน']"
31,เราไปเที่ยวตลาดจอมเทียนซึ่งตั้งอยู่ตรงข้ามชายหาดในพื้นที่จอมเทียนในช่วงวันหยุดที่พัทยา ตลาดมีผู้ขายสินค้าหลากหลายตั้งแต่เสื้อผ้ารองเท้าไปจนถึงน้ำมันไทยดั้งเดิมไปจนถึงอาหารผลไม้ หลายคนนั่งอยู่ในศูนย์อาหารแบบเปิดโล่งและเพลิดเพลินกับอาหารและเครื่องดื่ม,"['เที่ยว', 'ตลาด', 'จอมเทียน', 'ตรงข้าม', 'ชาย', 'หาด', 'พื้นที่', 'จอม', 'เทียน', 'หยุด', 'พัทยา', 'ตลาด', 'ขาย', 'สินค้า', 'หลากหลาย', 'เสื้อผ้า', 'รองเท้า', 'น้ำมัน', 'ไทย', 'ดั้งเดิม', 'อาหาร', 'ผลไม้', 'คน', 'นั่ง', 'ศูนย์อาหาร', 'โล่ง', 'เพลิดเพลิน', 'อาหาร', 'เครื่อง', 'ดื่ม']"
32,สิ่งที่ต้องทำ,['ทำ']
33,"เข้าชมประมาณ 19.00 น. สายลมที่น่ารักจากมหาสมุทรข้ามถนน . . แผงขายของทุกอย่าง 5 - 7 แถวของสิ่งเดียวกันทั้งหมด lol
แม้แต่แผงขายอาหารก็เหมือนกันหมด . . . . บรรยากาศดีแม้ว่า เสียงเพลงดังและผู้คนเพลิดเพลินกับอาหารของพวกเขา เจ้าของแผงขายที่เป็นมิตร","['ชม', 'สาย', 'ลม', 'รัก', 'มหาสมุทร', 'ข้าม', 'ถนน', 'แผง', 'ขาย', 'แถว', 'แผง', 'ขาย', 'อาหาร', 'เหมือน', 'บรรยากาศ', 'ดี', 'เสียง', 'เพลง', 'ผู้คน', 'เพลิดเพลิน', 'อาหาร', 'เจ้าของ', 'แผง', 'ขาย', 'มิตร']"
34,ค่าแสง Crazy .....,"['ค่า', 'แสง']"
35,พัทยากำลังเกิดขึ้นวังมักจะมีบางสิ่งเกิดขึ้น หากต้องการดูวัฒนธรรมการใช้ชีวิตในพัทยาผู้อยู่อาศัยในอาหารต้องไปเยือนในเวลาเย็นบนชายหาดทะเลพร้อมด้วยวิถีชีวิตที่มีชีวิตชีวาและความเพลิดเพลิน ร้านอาหารริมถนนจำนวนมากที่มีเบียร์และเครื่องดื่มที่มีแอลกอฮอล์อาหารทะเล แต่ยากสำหรับมังสวิรัติ แม้ว่าร้านอาหารอินเดียจำนวนมากจะมี แต่คุณภาพเป็นของหายาก โดยรวมแล้วตอนเย็นของคุณเพลิดเพลินไปกับ . . . . . . . . . . . .,"['พัทยา', 'วัง', 'ต้องการ', 'ดู', 'วัฒนธรรม', 'ชีวิต', 'พัทยา', 'อยู่อาศัย', 'อาหาร', 'เยือน', 'เวลา', 'เย็น', 'ชาย', 'หาด', 'ทะเล', 'วิถี', 'ชีวิต', 'ชีวิตชีวา', 'เพลิดเพลิน', 'ร้าน', 'อาหาร', 'ริม', 'ถนน', 'จำนวน', 'เบียร์', 'เครื่อง', 'ดื่ม', 'แอลกอฮอล์', 'อาหาร', 'ทะเล', 'สำหรับ', 'มังสวิรัติ', 'ร้าน', 'อาหาร', 'อินเดีย', 'จำนวน', 'คุณภาพ', 'หา', 'ตอน', 'เย็น', 'คุณเพลิดเพลิน']"
36,ฝันดีจริงๆ,"['ฝัน', 'ดี']"
37,ที่นี่ที่ตลาดกลางคืนจอมเทียนมีร้านค้ามากมายหลากหลายทุกสิ่งที่แตกต่างกันที่ผู้ผลิต / นักท่องเที่ยวอาจต้องการอ่านหรือซื้อ แฟนฉันชอบมันมาก หลังจากซื้อของแล้วก็ถึงเวลาสำหรับเบียร์และอาหาร มีไก่ให้เลือกมากมายเนื้อย่าง / ปลาและอาหารท้องถิ่นปรุงสดใหม่ต่อหน้าต่อตา นี้ล้างด้วยเบียร์ไม่กี่ทั้งหมดในราคาที่สมเหตุสมผลมากสำหรับตอนเย็นที่สนุกสนานมาก เมื่อเราไปที่นั่นก็มีดิสโก้สำหรับเด็กซึ่งก็ดูสนุกเช่นกัน,"['ตลาด', 'กลาง', 'คืน', 'จอม', 'เทียน', 'ร้าน', 'ค้า', 'หลากหลาย', 'แตกต่าง', 'ผลิต', 'ท่องเที่ยว', 'ต้องการ', 'อ่าน', 'ซื้อ', 'แฟน', 'ชอบ', 'ซื้อ', 'เวลา', 'สำหรับ', 'เบียร์', 'อาหาร', 'ไก่', 'เลือก', 'เนื้อ', 'ย่าง', 'ปลา', 'อาหาร', 'ท้องถิ่น', 'ปรุง', 'สด', 'ต่อหน้าต่อตา', 'ล้าง', 'เบียร์', 'กี่', 'ราคา', 'สมเหตุสมผล', 'สำหรับ', 'ตอน', 'เย็น', 'สนุกสนาน', 'ดิสโก้', 'สำหรับ', 'เด็ก', 'ดู', 'สนุก']"
38,ตลาดถนนและร้านอาหารในเวลาเดียวกัน,"['ตลาด', 'ถนน', 'ร้าน', 'อาหาร', 'เวลา']"
39,นี่เป็นหนึ่งในตลาดกลางคืนที่ได้รับความนิยมมากในพัทยา มีแผงลอยหรือบูธขายอาหารทั้งของแปลก ๆ และของที่ระลึก พวกเขายังมีการแสดงบนถนนหรือการแสดงหลังจากที่คุณสามารถเต้นไปกับเพลงที่พวกเขาเล่น อาหารดีจริง ๆ ที่นี่ (โดยเฉพาะอาหารทะเลย่างและสั่น) และราคาถูกมาก มันเป็นสถานที่ที่ดีที่คุณสามารถไปเที่ยวกับเพื่อน ๆ ในเวลากลางคืนและพูดคุยกับเบียร์ช้างท้องถิ่นที่เย็นชาและอาหารย่างสดใหม่ สถานที่ตั้งอยู่ตรงข้ามชายหาดซึ่งบางครั้งก็ทำให้คุณรู้สึกเย็นสบาย ยกนิ้ว!,"['ตลาด', 'กลาง', 'คืน', 'นิยม', 'พัทยา', 'แผง', 'ลอย', 'บูธ', 'ขาย', 'อาหาร', 'แปลก', 'ระลึก', 'ถนน', 'เต้น', 'เพลง', 'เล่น', 'อาหาร', 'ดี', 'อาหาร', 'ทะเล', 'ย่าง', 'สั่น', 'ราคา', 'สถานที่', 'ดี', 'เที่ยว', 'เพื่อน', 'เวลา', 'กลาง', 'คืน', 'พูดคุย', 'เบียร์', 'ช้าง', 'ท้องถิ่น', 'เย็นชา', 'อาหาร', 'ย่าง', 'สด', 'สถานที่', 'ตรงข้าม', 'ชาย', 'หาด', 'ทำ', 'รู้สึก', 'เย็น', 'นิ้ว']"
40,จุดที่ดี,"['จุด', 'ดี']"
41,ไปตลาดกลางคืนหลายต่อหลายครั้ง มันเป็นจุดที่ดีสำหรับทุกคนในครอบครัว แผงขายอาหารที่น่าตื่นตาตื่นใจมากมายเครื่องดื่มที่ไม่มีแอลกอฮอล์และไม่มี ดนตรีและสิ่งที่น่าซื้อ ควรค่าแก่การเยี่ยมชม,"['ตลาด', 'กลาง', 'คืน', 'จุด', 'ดี', 'สำหรับ', 'คน', 'ครอบครัว', 'แผง', 'ขาย', 'อาหาร', 'ตื่นตาตื่นใจ', 'เครื่อง', 'ดื่ม', 'แอลกอฮอล์', 'ดนตรี', 'ซื้อ', 'ค่า', 'เยี่ยมชม']"
42,ตลาดและอาหาร,"['ตลาด', 'อาหาร']"
43,สามารถเดินจากอพาร์ทเมนท์ของเรา เดินเที่ยวตลาดแผงลอยขายสินค้าและอาหาร ข้างๆตลาดร้านอาหารที่เปิดโล่งสบาย ๆ ภายใต้แสงดาวมีเครื่องดื่มที่คุณเลือกและเมนูอาหารที่ยอดเยี่ยม (ไม่แพง) รักสถานที่,"['เดิน', 'อพาร์ทเมนท์', 'เดิน', 'เที่ยว', 'ตลาด', 'แผง', 'ลอย', 'ขาย', 'สินค้า', 'อาหาร', 'ตลาด', 'ร้าน', 'อาหาร', 'โล่ง', 'แสง', 'ดาว', 'เครื่อง', 'ดื่ม', 'เลือก', 'เมนู', 'อาหาร', 'ยอดเยี่ยม', 'แพง', 'รัก', 'สถานที่']"
44,ตลาดกลางคืนหาดจอมเทียน,"['ตลาด', 'กลาง', 'คืน', 'หาด', 'จอมเทียน']"
45,ฉันอาศัยอยู่ในประเทศไทยหลายปีและไปตลาดกลางคืนที่ถนนชายหาดจอมเทียน ฉันพบว่าแผงขายอาหารดูไม่ถูกสุขลักษณะและไม่ได้ลองอาหาร! และเบียร์พลาสติก 7 ออนซ์ราคา 59 บาท! บางทีฉันอาจจะเป็นคนช่างสังเกตมากขึ้นเมื่อหลายปีก่อน . .,"['อาศัย', 'ประเทศไทย', 'ปี', 'ตลาด', 'กลาง', 'คืน', 'ถนน', 'ชาย', 'หาด', 'จอมเทียน', 'แผง', 'ขาย', 'อาหาร', 'ดู', 'สุขลักษณะ', 'ลอง', 'อาหาร', 'เบียร์', 'พลาสติก', 'ออนซ์', 'ราคา', 'บาท', 'คน', 'ช่าง', 'สังเกต', 'ปี']"
46,อาหารอร่อยในบรรยากาศที่แท้จริง,"['อาหาร', 'อร่อย', 'บรรยากาศ']"
47,เราเดินมาที่นี่ประมาณ 2 กม. จากโรงแรมของเราเพื่อดูสิ่งนี้ อาหารดีและราคาถูก (คุณซื้อแยกต่างหากจากจุดเล็ก ๆ ) และเครื่องดื่มแยกต่างหาก พวกเขาไม่พูดภาษาอังกฤษ แต่มันง่ายในการสื่อสารอย่างใด:) อาหารดีมาก แต่มันก็ไม่คุ้มกับการเดิน; คุณสามารถหาอาหารที่คล้ายกันได้ทุกที่,"['เดิน', 'โรง', 'แรม', 'ดู', 'อาหาร', 'ดี', 'ราคา', 'ซื้อ', 'แยก', 'จุด', 'เครื่อง', 'ดื่ม', 'แยก', 'ภาษา', 'อังกฤษ', 'สื่อสาร', 'ใด', 'อาหาร', 'ดี', 'คุ้ม', 'เดิน', 'หา', 'อาหาร']"
48,ที่ยอดเยี่ยมสำหรับการรับประทานอาหารเย็น,"['ยอดเยี่ยม', 'สำหรับ', 'รับประทาน', 'อาหาร', 'เย็น']"
